  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1989ms
 ○ Compiling / ...
 ✓ Compiled / in 2.5s (527 modules)
 GET / 307 in 2966ms
 GET / 307 in 2974ms
 ✓ Compiled in 461ms (267 modules)
 ✓ Compiled /login in 294ms (536 modules)
 GET /login 200 in 294ms
 GET /login 200 in 452ms
 GET / 307 in 169ms
 GET / 307 in 150ms
 GET /login 200 in 33ms
 GET /login 200 in 31ms
 GET / 307 in 42ms
 GET / 307 in 39ms
 GET /login 200 in 33ms
 GET / 307 in 42ms
 GET / 307 in 32ms
 GET /login 200 in 31ms
 GET /login 200 in 30ms
 GET / 307 in 32ms
 GET /login 200 in 29ms
 GET / 307 in 43ms
 GET / 307 in 36ms
 GET /login 200 in 37ms
 GET /login 200 in 30ms
 GET / 307 in 32ms
 GET /login 200 in 30ms
 GET / 307 in 34ms
 GET /login 200 in 32ms
 GET / 307 in 33ms
 GET /login 200 in 29ms
 GET / 307 in 33ms
 GET /login 200 in 28ms
 GET / 307 in 38ms
 GET / 307 in 33ms
 GET /login 200 in 31ms
 GET /login 200 in 31ms
 GET / 307 in 35ms
 GET /login 200 in 30ms
 GET / 307 in 44ms
 GET / 307 in 42ms
 GET /login 200 in 40ms
 GET /login 200 in 40ms
 GET / 307 in 33ms
 GET /login 200 in 30ms
 GET / 307 in 37ms
 GET / 307 in 35ms
 GET /login 200 in 34ms
 GET /login 200 in 35ms
 GET / 307 in 34ms
 GET /login 200 in 33ms
 GET / 307 in 35ms
 GET / 307 in 34ms
 GET /login 200 in 33ms
 GET /login 200 in 33ms
 GET / 307 in 38ms
 GET /login 200 in 33ms
 GET / 307 in 33ms
 GET / 307 in 31ms
 GET /login 200 in 30ms
 GET /login 200 in 31ms
 GET / 307 in 34ms
 GET /login 200 in 28ms
 GET / 307 in 34ms
 GET / 307 in 32ms
 GET /login 200 in 29ms
 GET /login 200 in 29ms
